Year,Round,Seed,Team,Score,Seed_1,Team_1,Score_1,Favorite,Seed_diff,Spread,Winner,Upset
2016,Sweet 16,3,Miami (Fla.),69,2,Villanova,92,TEAM_1,-1,-23,TEAM_2,True
2016,Sweet 16,1,North Carolina,101,5,Indiana,86,TEAM_2,4,15,TEAM_1,True
2016,Sweet 16,6,Notre Dame,61,7,Wisconsin,56,TEAM_2,1,5,TEAM_1,True
2016,Second Round,1,Kansas,73,9,Connecticut,61,TEAM_2,8,12,TEAM_1,True
2016,Second Round,11,Wichita State,57,3,Miami (Fla.),65,TEAM_1,-8,-8,TEAM_2,True
2016,Second Round,12,Yale,64,4,Duke,71,TEAM_1,-8,-7,TEAM_2,True
2016,Second Round,1,North Carolina,85,9,Providence,66,TEAM_2,8,19,TEAM_1,True
2016,Second Round,5,Indiana,73,4,Kentucky,67,TEAM_1,-1,6,TEAM_1,False
2016,Second Round,1,Virginia,77,9,Butler,69,TEAM_2,8,8,TEAM_1,True
2016,Second Round,12,Arkansas-Little Rock,61,4,Iowa State,78,TEAM_1,-8,-17,TEAM_2,True
2016,Second Round,11,Gonzaga,82,3,Utah,59,TEAM_1,-8,23,TEAM_1,False
2016,Second Round,2,Villanova,87,7,Iowa,68,TEAM_2,5,19,TEAM_1,True
2016,Second Round,6,Notre Dame,76,14,Stephen F. Austin,75,TEAM_2,8,1,TEAM_1,True
2016,Second Round,2,Oklahoma,85,10,Virginia Commonwealth,81,TEAM_2,8,4,TEAM_1,True
2016,Second Round,10,Syracuse,75,15,Middle Tennessee State,50,TEAM_2,5,25,TEAM_1,True
2016,Second Round,5,Maryland,73,13,Hawaii,60,TEAM_2,8,13,TEAM_1,True
2016,Second Round,3,Texas A&M,92,11,Northern Iowa,88,TEAM_2,8,4,TEAM_1,True
2016,Second Round,2,Xavier,63,7,Wisconsin,66,TEAM_2,5,-3,TEAM_2,False
2016,Second Round,1,Oregon,69,8,St. Joseph's,64,TEAM_2,7,5,TEAM_1,True
2016,First Round,2,Villanova,86,15,UNC Asheville,56,TEAM_2,13,30,TEAM_1,True
2016,First Round,7,Iowa,72,10,Temple,70,TEAM_2,3,2,TEAM_1,True
2016,First Round,3,Miami (Fla.),79,14,Buffalo,72,TEAM_2,11,7,TEAM_1,True
2016,First Round,4,California,66,13,Hawaii,77,TEAM_2,9,-11,TEAM_2,False
2016,First Round,5,Maryland,79,12,South Dakota State,74,TEAM_2,7,5,TEAM_1,True
2016,First Round,8,Colorado,67,9,Connecticut,74,TEAM_2,1,-7,TEAM_2,False
2016,First Round,1,Kansas,105,16,Austin Peay,79,TEAM_2,15,26,TEAM_1,True
2016,First Round,2,Oklahoma,82,15,Cal State Bakersfield,68,TEAM_2,13,14,TEAM_1,True
2016,First Round,7,Oregon State,67,10,Virginia Commonwealth,75,TEAM_2,3,-8,TEAM_2,False
2016,First Round,3,Texas A&M,92,14,Green Bay,65,TEAM_2,11,27,TEAM_1,True
2016,First Round,6,Texas,72,11,Northern Iowa,75,TEAM_2,5,-3,TEAM_2,False
2016,First Round,4,Duke,93,13,UNC Wilmington,85,TEAM_2,9,8,TEAM_1,True
2016,First Round,12,Yale,79,5,Baylor,75,TEAM_1,-7,4,TEAM_1,False
2016,First Round,8,St. Joseph's,78,9,Cincinnati,76,TEAM_2,1,2,TEAM_1,True
2016,First Round,2,Xavier,71,15,Weber State,53,TEAM_2,13,18,TEAM_1,True
2016,First Round,10,Pittsburgh,43,7,Wisconsin,47,TEAM_1,-3,-4,TEAM_2,True
2016,First Round,3,West Virginia,56,14,Stephen F. Austin,70,TEAM_2,11,-14,TEAM_2,False
2016,First Round,4,Kentucky,85,13,Stony Brook,57,TEAM_2,9,28,TEAM_1,True
2016,First Round,5,Indiana,99,12,Chattanooga,74,TEAM_2,7,25,TEAM_1,True
2016,First Round,8,Southern California,69,9,Providence,70,TEAM_2,1,-1,TEAM_2,False
2016,First Round,1,North Carolina,83,16,Florida Gulf Coast,67,TEAM_2,15,16,TEAM_1,True
2016,First Round,1,Virginia,81,16,Hampton,45,TEAM_2,15,36,TEAM_1,True
2016,First Round,8,Texas Tech,61,9,Butler,71,TEAM_2,1,-10,TEAM_2,False
2016,First Round,5,Purdue,83,12,Arkansas-Little Rock,85,TEAM_2,7,-2,TEAM_2,False
2016,First Round,4,Iowa State,94,13,Iona,81,TEAM_2,9,13,TEAM_1,True
2016,First Round,6,Seton Hall,52,11,Gonzaga,68,TEAM_2,5,-16,TEAM_2,False
2016,First Round,3,Utah,80,14,Fresno State,69,TEAM_2,11,11,TEAM_1,True
2016,First Round,7,Dayton,51,10,Syracuse,70,TEAM_2,3,-19,TEAM_2,False
2016,First Round,2,Michigan State,81,15,Middle Tennessee State,90,TEAM_2,13,-9,TEAM_2,False
2016,First Round,6,Arizona,55,11,Wichita State,65,TEAM_2,5,-10,TEAM_2,False
2016,First Round,1,Oregon,91,16,Holy Cross,52,TEAM_2,15,39,TEAM_1,True
2016,First Round,6,Notre Dame,70,11,Michigan,63,TEAM_2,5,7,TEAM_1,True
2016,Play-In,11,Wichita State,70,11,Vanderbilt,50,EQUAL,0,20,TEAM_1,True
2016,Play-In,16,Fairleigh Dickinson,65,16,Florida Gulf Coast,96,EQUAL,0,-31,TEAM_2,True
2016,Play-In,16,Holy Cross,59,16,Southern,55,EQUAL,0,4,TEAM_1,True
2016,Play-In,11,Tulsa,62,11,Michigan,67,EQUAL,0,-5,TEAM_2,True
2015,National Championship,1,Wisconsin,63,1,Duke,68,EQUAL,0,-5,TEAM_2,True
2015,Final Four,1,Kentucky,64,1,Wisconsin,71,EQUAL,0,-7,TEAM_2,True
2015,Final Four,7,Michigan State,61,1,Duke,81,TEAM_1,-6,-20,TEAM_2,True
2015,Elite Eight,1,Wisconsin,85,2,Arizona,78,TEAM_2,1,7,TEAM_1,True
2015,Elite Eight,1,Kentucky,68,3,Notre Dame,66,TEAM_2,2,2,TEAM_1,True
2015,Elite Eight,7,Michigan State,76,4,Louisville,70,TEAM_1,-3,6,TEAM_1,False
2015,Elite Eight,1,Duke,66,2,Gonzaga,52,TEAM_2,1,14,TEAM_1,True
2015,Sweet 16,11,UCLA,62,2,Gonzaga,74,TEAM_1,-9,-12,TEAM_2,True
2015,Sweet 16,1,Kentucky,78,5,West Virginia,39,TEAM_2,4,39,TEAM_1,True
2015,Sweet 16,6,Xavier,60,2,Arizona,68,TEAM_1,-4,-8,TEAM_2,True
2015,Sweet 16,8,North Carolina State,65,4,Louisville,75,TEAM_1,-4,-10,TEAM_2,True
2015,Sweet 16,1,Duke,63,5,Utah,57,TEAM_2,4,6,TEAM_1,True
2015,Sweet 16,1,Wisconsin,79,4,North Carolina,72,TEAM_2,3,7,TEAM_1,True
2015,Sweet 16,3,Notre Dame,81,7,Wichita State,70,TEAM_2,4,11,TEAM_1,True
